generation,sprint,profit_mean,profit_std,profit_max,profit_min,winrate_mean,winrate_max,update_norm,elapsed_s
0,A,-8.512775421142578,25.07958221435547,62.92089080810547,-48.14521789550781,0.38043999671936035,0.6359999775886536,3.4592459201812744,3.5885364699988713
1,A,-8.935270309448242,28.89702796936035,91.52799987792969,-60.680572509765625,0.39447999000549316,0.671999990940094,3.2595839500427246,3.723225239000385
2,A,-2.4557883739471436,29.7551326751709,77.90904998779297,-50.236000061035156,0.41683998703956604,0.6840000152587891,3.1443283557891846,4.528964085000553
3,A,-0.5222361087799072,35.441001892089844,117.00559997558594,-50.03456497192383,0.4328799843788147,0.699999988079071,3.4497525691986084,4.544776972999898
4,A,10.404184341430664,37.54868698120117,119.34656524658203,-68.97599792480469,0.460999995470047,0.7160000205039978,3.3536510467529297,4.779538978998971
5,A,16.266077041625977,40.407474517822266,129.31912231445312,-48.73080062866211,0.49439993500709534,0.7720000147819519,3.3529908657073975,4.678003797000201
6,A,20.407968521118164,38.45906066894531,120.05687713623047,-50.52109146118164,0.5016399621963501,0.7120000123977661,3.4391913414001465,4.698292148999826
7,A,30.212974548339844,37.35825729370117,150.7169952392578,-44.26573181152344,0.542199969291687,0.7559999823570251,3.1464550495147705,4.859609369001191
8,A,27.667978286743164,38.629356384277344,117.09687805175781,-57.81770324707031,0.551080048084259,0.7319999933242798,3.155609607696533,4.873701653999888
9,A,39.736392974853516,42.002716064453125,160.0800018310547,-37.78315734863281,0.5763199925422668,0.7839999794960022,3.428330659866333,4.915964465999423
0,B,-36.799930572509766,23.62852668762207,48.47200012207031,-106.00872802734375,0.18807998299598694,0.5519999861717224,2.6399595737457275,4.279317340000489
1,B,-38.47697448730469,22.713951110839844,30.740169525146484,-114.21886444091797,0.1958400011062622,0.46000000834465027,2.9483931064605713,4.228675165999448
2,B,-34.77167892456055,21.015830993652344,18.85619354248047,-116.7625503540039,0.17287999391555786,0.48399999737739563,2.8285109996795654,4.258474881999064
3,B,-34.307228088378906,20.977622985839844,34.60371017456055,-86.41400146484375,0.1802399754524231,0.46799999475479126,2.959954261779785,4.190382234999561
4,B,-33.76101303100586,20.73243522644043,23.920000076293945,-96.17363739013672,0.17856000363826752,0.6000000238418579,3.044013738632202,4.054148245999386
5,B,-30.5666561126709,24.068973541259766,28.0,-103.447998046875,0.1878799945116043,0.5600000023841858,2.9892849922180176,4.086783033000756
6,B,-32.236167907714844,23.280540466308594,15.920000076293945,-99.39727783203125,0.1722799837589264,0.492000013589859,2.956308603286743,4.021697072999814
7,B,-33.08055114746094,23.299514770507812,45.54611587524414,-100.23999786376953,0.17308004200458527,0.47200000286102295,3.130581855773926,4.034784188999765
8,B,-28.680509567260742,21.082290649414062,38.53768539428711,-101.85787200927734,0.15988001227378845,0.4399999976158142,3.04046368598938,3.8701327099988703
9,B,-26.855695724487305,22.196006774902344,32.47200012207031,-78.20719909667969,0.15980000793933868,0.5799999833106995,2.965635061264038,3.8445232239992038
0,A2,23.410999298095703,20.050268173217773,74.00440216064453,-11.32800006866455,0.8710799217224121,0.9599999785423279,2.64487361907959,3.794341038999846
1,A2,18.519725799560547,20.6586971282959,78.30719757080078,-39.63999938964844,0.8633201122283936,0.9359999895095825,2.6916515827178955,3.8662160210005823
2,A2,20.009033203125,21.77294921875,77.95079803466797,-21.579999923706055,0.8687599301338196,0.9559999704360962,2.8259525299072266,3.7548598809989926
3,A2,21.74016761779785,22.61308479309082,75.47708892822266,-34.20800018310547,0.8690400719642639,0.9359999895095825,2.8216135501861572,3.8190900669997063
4,A2,25.197633743286133,20.066469192504883,76.4552001953125,-19.0639705657959,0.8869999647140503,0.9480000138282776,2.942629337310791,3.8271207260004303
5,A2,23.83385467529297,17.47095489501953,69.9241943359375,-23.586931228637695,0.8836399912834167,0.9319999814033508,2.8329718112945557,3.9979669479998847
6,A2,26.991147994995117,23.279253005981445,95.98889923095703,-23.447999954223633,0.8854799866676331,0.9359999895095825,2.8263092041015625,4.803807071999472
7,A2,24.860666275024414,20.303443908691406,68.74400329589844,-14.118399620056152,0.8809999823570251,0.9359999895095825,2.7603073120117188,4.758831479000946
8,A2,21.908540725708008,19.965578079223633,68.78399658203125,-24.90254020690918,0.8765200972557068,0.9359999895095825,2.8769724369049072,4.509808881999561
9,A2,20.606273651123047,24.423324584960938,116.71562194824219,-27.483999252319336,0.8774399757385254,0.9319999814033508,2.810520887374878,4.312964499998998
